                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.94421,                 1.1029,                0.57633,                 0.9098,                0.91105,                0.88059,                0.95977,                  0.764,                0.91308,                0.86591,                0.94751,                0.59795,                0.72548,                0.91358,                0.45066,                0.86192,               0.005545,               0.005545,               0.005545
                     47,                0.93663,                 1.0954,                0.57204,                0.90969,                0.91222,                0.88019,                 0.9602,                0.76512,                0.91408,                0.86513,                0.94778,                0.59773,                0.72364,                0.91117,                 0.4493,                0.86152,               0.005446,               0.005446,               0.005446
                     48,                0.93388,                 1.0922,                0.57087,                0.90883,                0.91263,                0.88191,                0.96077,                 0.7661,                0.91483,                0.86593,                0.94843,                0.59808,                0.72153,                0.90731,                0.44787,                0.86106,               0.005347,               0.005347,               0.005347
                     49,                0.93335,                 1.0894,                0.57091,                0.90734,                0.91421,                0.88162,                0.96113,                0.76759,                0.91378,                0.86756,                0.94851,                0.59805,                0.71928,                0.90434,                0.44653,                0.86055,               0.005248,               0.005248,               0.005248
                     50,                 0.9284,                 1.0865,                0.56728,                0.90646,                 0.9159,                0.88111,                0.96163,                0.76871,                0.91469,                0.86837,                0.94902,                0.59868,                0.71679,                0.90116,                0.44496,                0.86001,               0.005149,               0.005149,               0.005149
                     51,                0.92389,                 1.0798,                0.56449,                0.90565,                0.91491,                0.88347,                0.96204,                0.77018,                0.91644,                 0.8682,                0.94955,                0.59916,                0.71391,                0.89784,                0.44329,                0.85936,                0.00505,                0.00505,                0.00505
                     52,                0.92209,                 1.0749,                0.56073,                0.90411,                0.91509,                0.88425,                0.96233,                0.77146,                0.91672,                0.86912,                0.94974,                0.59964,                0.71129,                0.89517,                0.44167,                0.85877,               0.004951,               0.004951,               0.004951
                     53,                0.91714,                 1.0707,                0.55816,                0.90442,                0.91635,                0.88537,                0.96283,                0.77271,                0.91618,                0.87184,                0.95025,                0.60086,                0.70777,                 0.8894,                0.43945,                0.85801,               0.004852,               0.004852,               0.004852
                     54,                0.91519,                  1.064,                0.55824,                0.90358,                0.91729,                0.88586,                0.96323,                0.77415,                0.91538,                0.87378,                0.95085,                0.60129,                0.70468,                0.88401,                0.43762,                0.85726,               0.004753,               0.004753,               0.004753
                     55,                0.90789,                 1.0559,                0.55328,                  0.902,                0.91819,                0.88638,                0.96389,                0.77607,                0.91587,                0.87418,                0.95141,                0.60242,                0.70084,                0.87953,                0.43558,                0.85632,               0.004654,               0.004654,               0.004654
                     56,                0.90439,                 1.0537,                0.55155,                0.90069,                0.91871,                0.88714,                0.96438,                0.77767,                0.91665,                0.87455,                 0.9519,                0.60348,                0.69728,                0.87507,                0.43358,                0.85539,               0.004555,               0.004555,               0.004555
                     57,                0.90271,                 1.0537,                0.54749,                0.90034,                0.91988,                0.88753,                0.96485,                0.77904,                0.91758,                0.87489,                0.95229,                0.60437,                0.69399,                0.87096,                0.43149,                0.85445,               0.004456,               0.004456,               0.004456
